Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
USA,North America,330854064,1881205,0,108059,0,645974,0,1127172,17114,5686,327,18603174,56228
Brazil,South America,212442762,558237,1569,31309,31,253570,12943,273358,8318,2628,147,930013,4378
Russia,Europe,145929848,423741,0,5037,0,186985,0,231719,2300,2904,35,11151622,76418
Spain,Europe,46753443,287012,0,27127,0,0,0,0,617,6139,580,4063843,86921
UK,Europe,67858826,277985,0,39369,0,0,0,0,1559,4097,580,4615146,68011
Italy,Europe,60468295,233515,0,33530,0,160092,0,39893,408,3862,555,3962292,65527
India,Asia,1378937377,207615,424,5829,0,100303,18,101483,8944,151,4,4103233,2976
Germany,Europe,83763806,184091,0,8674,0,167300,900,8117,689,2198,104,3952971,47192
Peru,South America,32934728,174884,0,4767,0,69257,0,100860,964,5310,145,1092646,33176
Turkey,Asia,84267248,165555,0,4585,0,129921,0,31049,633,1965,54,2103044,24957
Iran,Asia,83906701,157562,0,7942,0,123077,0,26543,2565,1878,95,975936,11631
France,Europe,65262729,151325,0,28940,0,68812,0,53573,1253,2319,443,1384633,21216
Chile,South America,19103405,108686,0,1188,0,86173,41227,21325,1446,5689,62,612772,32077
Mexico,North America,128825735,97326,3891,10637,470,70308,2817,16381,378,755,83,293078,2275
Canada,North America,37716316,92410,0,7395,0,50357,0,34658,1709,2450,196,1724250,45716
Saudi Arabia,Asia,34769565,89011,0,549,0,65790,0,22672,1264,2560,16,853987,24561
Pakistan,Asia,220532862,80463,4065,1688,67,28923,1813,49852,111,365,8,595344,2700
Qatar,Asia,2807805,60259,0,43,0,36036,0,24180,239,21461,15,231098,82306
Belgium,Europe,11585802,58615,0,9505,0,15934,0,33176,166,5059,820,884386,76334
Bangladesh,Asia,164560234,52445,0,709,0,11120,0,40616,1,319,4,333073,2024
Netherlands,Europe,17132042,46647,0,5967,0,0,0,0,154,2723,348,359833,21004
Belarus,Europe,9449551,44255,0,243,0,19195,0,24817,92,4683,26,562945,59574
Ecuador,South America,17621217,40414,0,3438,0,20019,0,16957,252,2293,195,118754,6739
Sweden,Europe,10094432,38589,0,4468,0,0,0,0,283,3823,443,275500,27292
Singapore,Asia,5846771,35836,0,24,0,23175,0,12637,6,6129,4,408495,69867
South Africa,Africa,59248777,35812,0,755,0,18313,0,16744,208,604,13,761534,12853
UAE,Asia,9880861,35788,0,269,0,18726,0,16793,1,3622,27,2145493,217136
Portugal,Europe,10198850,32895,0,1436,0,19869,0,11590,58,3225,141,847181,83066
Colombia,South America,50840001,31833,0,1009,0,11142,0,19682,136,626,20,350213,6889
Switzerland,Europe,8649729,30874,0,1920,0,28500,0,454,29,3569,222,400793,46336
Kuwait,Asia,4265437,28649,0,226,0,14281,0,14142,187,6717,53,290013,67991
Indonesia,Asia,273295010,27549,0,1663,0,7935,0,17951,0,101,6,342464,1253
Egypt,Africa,102173226,27536,0,1052,0,6827,0,19657,41,270,10,135000,1321
Ireland,Europe,4933409,25066,0,1658,0,22089,0,1319,36,5081,336,348416,70624
Poland,Europe,37849635,24395,0,1092,0,11726,0,11577,160,645,29,945955,24992
Ukraine,Europe,43752274,24340,0,727,0,10078,0,13535,286,556,17,371668,8495
Romania,Europe,19246690,19517,0,1288,0,13526,0,4703,166,1014,67,448813,23319
